date,code,qty,rate,month
2026-04-22 14:50:52.085,500001,16,1296,2026-04
2026-04-22 14:50:52.085,500001,4,1295,2026-04
2026-04-22 14:50:52.085,500001,16,1295,2026-04
2026-04-22 14:50:52.085,500001,4,1295,2026-04
2026-04-22 14:50:52.085,10029028,4,1250,2026-04
2026-04-07 12:03:33.634,10027735,3,975,2026-04
2026-04-22 12:06:30.559,10029036,4,850,2026-04
2026-04-22 12:06:30.559,10029029,4,1250,2026-04
2026-04-21 18:09:26.124,10028960,3,1095,2026-04
2026-04-21 18:09:26.124,10028961,3,1095,2026-04
2026-04-08 17:25:19.920,10027574,4,995,2026-04
2026-04-22 12:10:25.978,10028518,4,795,2026-04
2026-04-22 12:10:25.978,10028448,4,775,2026-04
2025-10-13 21:10:10.000,10016728,4,875,2025-10
2026-04-20 14:01:05.613,10029036,4,850,2026-04
2026-04-08 17:34:34.817,10027760,4,995,2026-04
2025-09-03 16:23:21.000,500001,4,1295,2025-09
2026-04-21 19:06:29.293,10028892,4,1075,2026-04
2026-04-20 16:16:36.116,10028794,4,1095,2026-04
2026-04-20 16:16:36.117,10028831,4,875,2026-04
2026-04-20 16:16:36.117,10028757,4,550,2026-04
2026-04-20 16:16:36.117,10028758,4,550,2026-04
2026-04-20 16:16:36.118,10028755,4,550,2026-04
2026-04-20 16:16:36.118,10028845,3,1025,2026-04
2026-04-21 19:14:49.332,10028845,3,1025,2026-04
2026-04-21 19:14:49.332,10028794,4,1095,2026-04
2026-04-20 16:49:05.130,10027576,4,995,2026-04
2026-04-20 16:59:43.976,10028268,4,335,2026-04
2026-04-20 17:31:38.861,10028845,3,1025,2026-04
2026-04-07 15:32:01.571,10027632,3,750,2026-04
2026-04-07 19:31:32.899,10027612,4,995,2026-04
2026-04-07 19:31:32.899,10027634,3,750,2026-04
2026-04-07 19:31:32.899,10027632,3,750,2026-04
2026-04-07 19:31:32.900,10027635,3,750,2026-04
2026-04-07 19:58:45.578,10027760,3,995,2026-04
2026-04-07 19:58:45.578,10027734,3,975,2026-04
2026-04-08 18:23:11.990,10027298,4,1150,2026-04
2026-04-08 18:31:31.162,10027298,4,1150,2026-04
2026-04-09 12:26:55.633,10027299,4,1150,2026-04
2026-04-20 20:58:27.621,10027632,3,750,2026-04
2026-04-07 20:39:20.570,10027760,4,995,2026-04
2026-04-20 21:38:59.156,10028268,8,335,2026-04
2026-04-08 10:52:16.828,10027734,3,975,2026-04
2026-04-22 10:33:17.341,10028569,4,925,2026-04
2026-04-22 10:33:17.341,10027298,4,1150,2026-04
2026-04-21 10:59:48.653,10028754,3,550,2026-04
2026-04-08 11:32:11.049,10027735,3,975,2026-04
2026-04-07 13:11:01.605,10027574,8,995,2026-04
2026-04-07 13:11:01.605,10027576,8,995,2026-04
2026-04-20 15:41:21.165,10028794,4,1095,2026-04
2026-04-20 15:41:21.164,10025103,4,1195,2026-04
2026-04-20 15:41:21.165,10028892,4,1075,2026-04
2025-07-23 18:23:53.000,500001,4,1295,2025-07
2025-09-03 18:20:37.000,500001,4,1295,2025-09
2025-09-02 17:53:27.000,500001,12,1295,2025-09
2025-09-02 17:53:27.000,500001,12,1295,2025-09
2025-09-02 17:53:27.000,500001,4,1295,2025-09
2025-09-02 17:53:27.000,500001,32,1295,2025-09
2025-09-02 17:53:27.000,500001,4,1295,2025-09
2025-09-02 17:53:27.000,500001,4,1295,2025-09
2025-09-02 17:53:27.000,500001,4,1295,2025-09
2025-09-02 17:53:27.000,500001,4,1295,2025-09
2025-09-09 20:46:43.000,500001,4,1295,2025-09
2025-09-16 19:17:34.000,10016728,4,875,2025-09
2025-11-01 17:51:45.000,10019275,4,1650,2025-11
2025-11-12 19:13:39.000,10019275,4,1650,2025-11
2025-10-30 20:04:22.000,500001,3,1295,2025-10
2026-04-08 13:04:21.385,10027757,4,1150,2026-04
2026-04-08 13:04:21.385,10027542,4,875,2026-04
2026-04-22 11:17:23.891,10027734,3,975,2026-04
2026-03-19 18:24:58.839,500001,100,1295,2026-03
2025-11-24 19:02:01.000,500001,8,1295,2025-11
2025-12-18 19:50:56.106,10019275,4,1650,2025-12
2025-11-08 20:31:37.000,10019275,4,1650,2025-11
2025-11-26 14:42:02.000,500001,4,1295,2025-11
2025-11-26 14:45:55.000,500001,4,1295,2025-11
2026-04-21 16:32:48.546,10029036,4,850,2026-04
2026-04-21 16:32:48.546,10028197,4,750,2026-04
2025-12-30 13:36:13.954,500001,4,1295,2025-12
2025-11-27 13:19:13.788,10021130,8,875,2025-11
2025-11-27 13:19:13.853,10021131,8,875,2025-11
2026-04-08 14:46:31.096,10027576,4,995,2026-04
2025-12-24 11:02:16.263,10019275,4,1650,2025-12
2026-01-17 20:07:42.144,10016728,4,875,2026-01
2025-12-24 16:15:07.314,500001,40,1295,2025-12
2025-12-02 16:01:44.556,500001,8,1295,2025-12
2026-04-08 17:14:26.458,10027757,4,1150,2026-04
2025-12-26 21:15:25.754,500001,4,1295,2025-12
2026-04-08 17:20:09.829,10027735,3,975,2026-04
2026-04-08 17:20:09.829,10027734,3,975,2026-04
2026-04-22 12:06:30.558,10029028,4,1250,2026-04
2026-01-03 15:33:12.900,10022091,4,1250,2026-01
2026-01-06 16:14:54.268,10022091,4,1250,2026-01
2026-01-05 18:03:59.202,500001,40,1295,2026-01
2026-01-05 21:25:27.365,500001,4,1295,2026-01
2026-04-03 12:40:20.106,10027298,4,1150,2026-04
2026-04-21 16:36:12.768,10028196,4,750,2026-04
2026-04-21 16:36:12.768,10027761,4,995,2026-04
2026-04-21 16:36:12.768,10029036,4,850,2026-04
2026-04-09 15:02:51.434,10028003,3,1425,2026-04
2026-02-17 22:28:12.639,10025103,4,1195,2026-02
2026-04-09 15:27:38.567,10028003,6,1425,2026-04
2026-03-24 15:14:30.790,10025542,3,1150,2026-03
2026-04-09 15:46:39.506,10027612,4,995,2026-04
2026-04-09 15:46:39.507,10027757,4,1150,2026-04
2026-01-21 17:20:22.037,10022091,4,1250,2026-01
2026-04-09 15:56:18.711,10028130,5,850,2026-04
2026-02-18 13:07:46.509,10025105,4,650,2026-02
2026-04-09 16:18:51.572,10025821,4,1595,2026-04
2026-04-22 19:05:38.519,10028197,4,750,2026-04
2026-04-22 19:05:38.519,10027736,4,925,2026-04
2026-04-22 19:05:38.519,10028641,4,875,2026-04
2026-04-22 19:05:38.519,10027761,4,995,2026-04
2026-04-09 14:58:54.661,10028093,4,925,2026-04
2026-04-09 17:26:36.468,10027896,4,550,2026-04
2026-04-09 18:30:37.903,10027734,3,975,2026-04
2026-04-09 18:30:37.903,10027298,4,1150,2026-04
2026-04-22 21:38:00.168,10028130,20,850,2026-04
2026-04-09 19:15:29.086,10027298,4,1150,2026-04
2026-02-18 20:32:52.524,10025103,4,1195,2026-02
2026-02-18 20:49:31.127,10025821,4,1595,2026-02
2026-02-27 19:23:05.587,10019275,4,1650,2026-02
2026-04-23 12:16:31.972,10028959,3,1095,2026-04
2026-01-26 19:18:41.250,10022091,4,1250,2026-01
2026-02-10 15:56:47.413,10025103,4,1195,2026-02
2026-02-07 20:21:14.082,10025103,4,1195,2026-02
2026-02-07 20:35:30.676,10022578,4,1195,2026-02
2026-04-23 15:09:35.468,10028518,4,795,2026-04
2026-04-23 15:09:35.468,10029129,5,1150,2026-04
2026-04-23 15:09:35.468,10028568,4,925,2026-04
2026-04-23 15:09:35.469,10028757,4,550,2026-04
2026-04-23 15:09:35.469,10028758,4,550,2026-04
2026-04-23 15:26:57.357,10028449,4,775,2026-04
2026-04-23 15:39:08.905,10029228,4,750,2026-04
2026-04-23 15:39:08.905,10029229,4,750,2026-04
2026-04-10 10:45:04.581,10028130,5,850,2026-04
2026-02-10 17:45:26.625,10022578,4,1195,2026-02
2026-04-13 20:22:42.944,10028269,4,335,2026-04
2026-04-13 20:22:42.944,10027276,4,525,2026-04
2026-04-10 12:01:35.652,10028197,3,750,2026-04
2026-04-10 12:09:45.407,10027734,3,975,2026-04
2026-02-05 17:02:16.998,10022578,4,1195,2026-02
2026-02-09 15:24:55.985,10025105,4,650,2026-02
2026-02-09 15:34:16.318,10025105,4,650,2026-02
2026-04-13 20:29:19.489,10027912,4,625,2026-04
2026-04-10 15:04:25.386,10027279,4,550,2026-04
2026-02-20 16:17:32.326,10022091,4,1250,2026-02
2026-02-09 20:18:08.465,10022578,4,1195,2026-02
2026-04-23 18:31:13.377,10028978,4,1025,2026-04
2026-02-20 21:13:16.956,10025542,3,1195,2026-02
2026-04-14 10:43:20.786,10028257,4,775,2026-04
2026-02-20 21:55:27.240,10022091,4,1250,2026-02
2026-02-12 19:33:41.991,10025105,8,650,2026-02
2026-04-07 15:53:18.710,10027761,4,995,2026-04
2026-04-07 15:53:18.710,10027760,4,995,2026-04
2026-04-21 18:58:11.599,10029029,4,1250,2026-04
2026-04-21 19:06:29.293,10027684,4,550,2026-04
2026-04-21 19:06:29.293,10028753,4,550,2026-04
2026-04-21 19:06:29.293,10028755,4,550,2026-04
2026-04-20 18:20:02.457,10028268,4,335,2026-04
2026-04-08 18:11:56.918,10027576,4,995,2026-04
2025-09-03 21:10:45.000,500001,4,1295,2025-09
2026-04-07 20:39:20.570,10027912,4,625,2026-04
2026-04-22 10:33:17.341,10028630,4,875,2026-04
2026-04-07 13:11:01.605,10027735,3,975,2026-04
2026-04-21 12:14:46.148,10027806,4,625,2026-04
2026-04-21 12:14:46.148,10028753,4,550,2026-04
2025-09-08 16:53:58.000,500001,4,1295,2025-09
2025-11-01 17:38:07.000,10016728,4,875,2025-11
2025-11-01 17:45:43.000,10019275,4,1650,2025-11
2025-10-30 20:18:20.000,500001,15,1295,2025-10
2025-10-17 16:53:12.000,500001,51,1295,2025-10
2025-12-27 17:54:34.539,500001,4,1295,2025-12
2025-11-12 21:26:11.000,500001,3,1295,2025-11
2026-02-16 20:10:14.420,10025542,3,1195,2026-02
2025-10-09 19:48:56.000,10016728,4,875,2025-10
2026-04-08 13:04:21.385,10027299,4,1150,2026-04
2025-12-27 18:53:35.871,500001,4,1295,2025-12
2026-04-08 19:52:51.818,10027574,4,995,2026-04
2026-04-08 19:52:51.818,10027760,4,995,2026-04
2026-03-23 18:35:08.338,10025820,4,1595,2026-03
2026-03-23 18:35:08.338,10025821,4,1595,2026-03
2025-11-24 17:44:49.000,500001,40,1295,2025-11
2025-12-29 17:45:44.537,500001,4,1295,2025-12
2025-11-27 19:13:34.187,10021131,4,875,2025-11
2026-01-17 20:02:21.433,10022091,4,1250,2026-01
2025-11-27 19:24:16.000,10021131,4,875,2025-11
2026-04-08 15:44:00.866,10027299,4,1150,2026-04
2026-01-16 18:31:26.800,10022578,4,1195,2026-01
2025-12-26 13:33:55.046,10021130,4,875,2025-12
2026-04-08 16:57:56.071,10027299,4,1150,2026-04
2025-12-26 17:34:31.042,500001,4,1295,2025-12
2026-04-08 17:04:13.634,10027612,4,995,2026-04
2026-04-08 17:04:13.631,10027632,3,750,2026-04
2026-04-08 17:04:13.631,10027684,4,550,2026-04
2026-04-22 15:21:42.409,10028568,4,925,2026-04
2026-04-22 15:21:42.409,10028448,4,775,2026-04
2026-04-22 15:21:42.410,10028449,4,775,2026-04
2026-04-22 15:21:42.410,10021130,4,875,2026-04
2026-04-22 15:21:42.410,10027761,4,995,2026-04
2026-04-22 15:21:42.410,10028520,4,795,2026-04
2026-04-22 15:21:42.410,10027760,4,995,2026-04
2026-04-22 15:21:42.410,10028638,4,875,2026-04
2026-01-05 20:43:25.025,500001,4,1295,2026-01
2026-04-21 20:35:50.337,10026674,4,875,2026-04
2026-04-21 20:35:50.337,10028630,4,875,2026-04
2026-04-21 16:36:12.768,10028641,4,875,2026-04
2026-04-21 16:36:12.768,10029034,4,850,2026-04
2026-04-21 16:36:12.768,10028449,4,775,2026-04
2026-04-21 16:36:12.768,10028448,4,775,2026-04
2026-02-17 22:13:22.707,10025820,4,1595,2026-02
2026-02-06 18:36:56.692,10022091,4,1250,2026-02
2026-02-06 22:03:25.407,10022091,4,1250,2026-02
2026-02-06 22:30:13.768,500001,100,1295,2026-02
2026-01-10 15:43:23.910,500001,4,1295,2026-01
2026-01-10 15:46:53.244,10022578,8,1195,2026-01
2026-04-15 12:53:23.900,10021130,4,875,2026-04
2026-04-09 18:14:09.555,10027542,4,875,2026-04
2026-04-09 18:24:19.462,10027281,4,550,2026-04
2026-04-09 18:24:19.462,10027761,4,995,2026-04
2026-02-18 18:11:35.234,10022578,4,1195,2026-02
2026-02-23 17:14:19.602,10025820,4,1595,2026-02
2026-02-23 17:33:37.778,10025103,4,1195,2026-02
2026-01-24 21:29:43.436,10022091,4,1250,2026-01
2026-02-25 17:32:02.111,10025821,4,1595,2026-02
2026-01-26 18:12:13.881,10022091,8,1250,2026-01
2026-02-07 20:16:20.827,10022578,4,1195,2026-02
2026-04-15 21:24:04.966,10027896,4,550,2026-04
2026-04-23 15:09:35.468,10028520,4,795,2026-04
2026-04-23 15:26:57.357,10029036,4,850,2026-04
2026-04-23 15:26:57.357,10028448,4,775,2026-04
2026-04-23 15:26:57.357,10029035,4,850,2026-04
2026-01-28 16:22:18.284,10022091,4,1250,2026-01
2026-04-23 17:12:35.289,10029028,4,1250,2026-04
2026-04-13 20:29:19.489,10028093,4,925,2026-04
2026-04-03 16:13:13.201,10027299,4,1150,2026-04
2026-04-03 17:04:41.512,10027279,4,550,2026-04
2026-01-29 21:11:05.429,10022091,8,1250,2026-01
2026-02-09 20:32:15.378,10025103,4,1195,2026-02
2026-04-03 18:48:35.653,10027299,4,1150,2026-04
2026-04-03 18:48:35.653,10027298,4,1150,2026-04
2026-04-10 16:16:38.443,10027912,4,625,2026-04
2026-04-10 16:26:41.990,10027734,3,975,2026-04
2026-04-10 16:26:41.990,10027735,3,975,2026-04
2026-02-27 20:06:22.227,10025103,4,1195,2026-02
2026-02-20 20:54:05.653,10025820,4,1595,2026-02
2026-02-20 21:01:14.672,10025542,3,1195,2026-02
2026-02-27 20:12:08.849,10025103,8,1195,2026-02
2026-04-16 12:45:31.951,10021130,4,875,2026-04
2026-04-04 11:11:34.552,10027299,4,1150,2026-04
2026-04-23 12:16:31.972,10027912,4,625,2026-04
2026-04-23 12:16:31.972,10027735,3,975,2026-04
2026-04-23 12:16:31.972,10028758,4,550,2026-04
2026-04-24 11:53:04.980,10028268,8,335,2026-04
2026-02-21 20:47:04.519,10022091,4,1250,2026-02
2026-04-04 11:59:28.788,10027612,4,995,2026-04
2026-04-11 12:00:57.569,10028269,8,335,2026-04
2026-04-11 12:00:57.569,10028268,8,335,2026-04
2026-02-14 14:20:41.065,10025103,4,1195,2026-02
2026-02-28 17:05:42.346,500001,60,1295,2026-02
2026-04-16 12:45:31.954,10028641,4,875,2026-04
2026-04-16 12:45:31.940,10028569,3,925,2026-04
2026-02-14 19:52:13.170,10025542,3,1195,2026-02
2026-02-14 19:58:03.610,10025542,3,1195,2026-02
2026-04-24 14:03:37.144,10028757,4,550,2026-04
2026-04-24 14:03:37.144,10027735,6,975,2026-04
2026-04-24 14:03:37.144,10028758,4,550,2026-04
2026-04-24 14:03:37.144,10027281,4,550,2026-04
2026-04-24 14:03:37.144,10027734,6,975,2026-04
2026-02-14 21:07:33.778,10025542,3,1195,2026-02
2026-04-24 15:27:44.402,10027912,4,625,2026-04
2026-04-24 15:42:55.104,10027761,4,995,2026-04
2026-04-16 12:49:05.034,10028268,4,335,2026-04
2026-04-04 15:02:15.842,10027298,4,1150,2026-04
2026-04-15 16:45:45.374,10028269,4,335,2026-04
2026-04-15 16:45:45.374,10027806,4,625,2026-04
2026-04-14 14:48:28.717,10028093,4,925,2026-04
2026-04-14 14:48:28.718,10025103,4,1195,2026-04
2026-04-24 18:32:16.407,10029029,4,1250,2026-04
2026-04-24 18:32:16.407,10027278,4,550,2026-04
2026-04-24 18:32:16.407,10029128,5,995,2026-04
2026-04-24 18:32:16.407,10028845,3,1025,2026-04
2026-04-24 18:32:16.407,10029263,4,995,2026-04
2026-04-24 18:32:16.407,10027281,4,550,2026-04
2026-04-24 18:32:16.407,10029215,4,650,2026-04
2026-04-24 18:32:16.407,10027280,4,550,2026-04
2026-04-24 18:32:16.407,10029262,4,995,2026-04
2026-04-24 18:32:16.407,10027734,3,975,2026-04
2026-04-14 15:27:25.861,10028448,4,775,2026-04
2026-04-14 15:27:25.861,10028449,4,775,2026-04
2026-04-04 18:12:35.864,10027299,8,1150,2026-04
2026-04-04 18:12:35.864,10027298,8,1150,2026-04
2026-04-11 17:37:16.012,10027684,8,550,2026-04
2026-04-24 21:45:33.369,10027281,4,550,2026-04
2026-04-08 17:25:19.920,10027761,4,995,2026-04
2026-04-22 12:10:25.979,10028520,4,795,2026-04
2026-04-22 12:10:25.979,10028449,4,775,2026-04
2026-04-21 18:32:24.506,10028810,4,875,2026-04
2026-04-20 13:37:49.461,10028268,4,335,2026-04
2026-04-20 14:01:05.614,10029035,4,850,2026-04
2026-04-21 18:58:11.599,10029028,4,1250,2026-04
2026-04-21 19:14:49.332,10028447,4,1325,2026-04
2025-09-02 19:19:42.000,500001,48,1295,2025-09
2026-04-20 16:55:47.769,10028892,4,1075,2026-04
2026-04-20 16:55:47.769,10028818,4,795,2026-04
2026-04-07 20:22:15.405,10027735,3,975,2026-04
2026-04-22 15:21:42.409,10027574,4,995,2026-04
2026-04-08 10:52:16.827,10027542,4,875,2026-04
2025-07-23 18:29:19.000,500001,4,1295,2025-07
2025-07-23 18:29:19.000,500001,4,1295,2025-07
2025-10-29 21:20:47.000,10019275,4,1650,2025-10
2025-11-11 21:30:16.000,10019275,4,1650,2025-11
2025-10-29 21:45:46.000,10019275,8,1650,2025-10
2026-02-16 19:03:18.221,10025103,4,1195,2026-02
2025-10-30 19:59:47.000,10019275,4,1650,2025-10
2025-11-22 12:37:08.000,500001,4,1295,2025-11
2026-01-13 20:25:21.855,10021130,4,875,2026-01
2026-04-22 11:17:23.891,10026674,4,875,2026-04
2026-04-22 11:17:23.891,10027735,3,975,2026-04
2025-11-21 13:53:22.000,500001,4,1295,2025-11
2026-04-08 19:52:51.818,10027761,4,995,2026-04
2025-11-18 18:02:44.000,500001,84,1295,2025-11
2025-11-24 19:37:57.000,500001,4,1295,2025-11
2025-11-27 13:32:32.738,10021131,4,875,2025-11
2026-01-03 19:06:33.742,10022091,4,1250,2026-01
2025-11-28 18:50:11.000,500001,4,1295,2025-11
2025-11-29 19:01:30.000,10019275,4,1650,2025-11
2026-04-22 15:21:42.410,10028639,4,875,2026-04
2026-04-22 15:21:42.410,10028637,4,875,2026-04
2026-04-22 15:21:42.409,10025542,4,1150,2026-04
2026-04-22 15:21:42.409,10027735,3,975,2026-04
2026-04-22 15:21:42.409,10028892,4,1075,2026-04
2026-04-22 15:21:42.409,10029110,4,995,2026-04
2026-04-22 15:21:42.409,10028845,3,1025,2026-04
2026-04-22 15:21:42.409,10028960,3,1095,2026-04
2026-04-22 15:21:42.409,10027576,4,995,2026-04
2026-04-22 15:21:42.409,10028518,4,795,2026-04
2026-04-22 15:21:42.409,10021131,4,875,2026-04
2026-01-05 20:48:42.091,500001,4,1295,2026-01
2026-01-06 17:47:17.724,10022091,4,1250,2026-01
2025-12-10 16:59:20.692,10021130,4,875,2025-12
2026-02-17 22:03:22.127,10025821,16,1595,2026-02
2026-04-22 18:43:34.341,10028960,3,1095,2026-04
2026-04-22 18:43:34.342,10028961,3,1095,2026-04
2026-04-09 18:11:20.713,10028130,5,850,2026-04
2026-04-09 18:18:03.281,10028130,10,850,2026-04
2026-01-10 20:40:45.300,10022578,4,1195,2026-01
2026-02-14 15:21:36.052,10025105,4,650,2026-02
2026-02-18 20:24:01.837,10025542,3,1195,2026-02
2026-02-18 20:24:01.890,10025821,4,1595,2026-02
2026-02-18 20:57:28.910,10025820,4,1595,2026-02
